average_rating,budget,runtime_minutes,release_year,gross,num_votes
7.5,28000000,118,1984,333107271,524781
7.3,8000000,126,1984,91119319,238824
8,1000000,117,1984,8853968,177702
7.8,14400000,141,1984,34700291,58158
7.4,28000000,138,1984,47951979,51597
7.4,1800000,91,1984,25685134,257197
8.3,30000000,229,1984,5474090,369185
6.7,4500000,96,1984,81198894,134328
6.3,17000000,114,1984,38376497,61550
6.6,8000000,90,1984,40874452,57370
6.9,10000000,106,1984,86572238,100966
7,6500000,93,1984,23686027,123103
6.3,11000000,111,1984,69821334,81654
6.6,17000000,105,1984,76471046,84773
7,22000000,115,1984,28744356,50516
8.1,6400000,107,1984,78371200,904995
7.9,2500000,82,1984,4736202,144686
7.2,9000000,90,1984,20458340,71297
7.3,27000000,102,1984,20284984,152948
7.6,4500000,97,1985,10609321,77480
8.5,19000000,116,1985,383336762,1272378
7.9,15000000,132,1985,9949953,208178
7.8,1000000,97,1985,51525171,425953
7.2,15000000,94,1985,14643997,105804
6.7,17500000,117,1985,85313124,67273
7.7,15000000,154,1985,98467863,92733
6.7,10000000,90,1985,57491000,171166
7.1,3500000,101,1985,5000000,73124
6.8,40000000,108,1985,12303411,50458
6.9,8000000,98,1985,59612888,56673
7.1,9000000,106,1985,24922237,76992
7.7,19000000,114,1985,64499270,291480
6.1,25000000,106,1985,96773200,61249
6.3,24500000,94,1985,15502112,70654
6.2,10000000,107,1985,36230219,144531
6.2,17000000,95,1985,49364621,70147
5.4,3000000,87,1985,29999213,75856
7.1,31000000,161,1985,227514205,84559
7.3,6900000,115,1985,41410568,63191
7,6000000,91,1985,41047344,57940
5.7,7600000,87,1985,55600000,58131
7.7,15000000,82,1985,10631333,53999
6.5,44000000,96,1985,300400432,178882
8.2,11500000,160,1985,4164283,132872
7.2,900000,84,1985,2023414,69952
7.3,4000000,91,1985,14238661,67148
6.9,30000000,91,1985,300473716,221635
6.4,22000000,102,1985,60106536,52141
6.3,30000000,131,1985,50337532,102843
6.6,7500000,94,1985,38934048,95293
7.4,12000000,112,1985,68706993,102051
6.6,8800000,97,1986,328203506,112633
8.4,18500000,137,1986,131060248,747365
7.2,25000000,99,1986,11100577,150269
7.7,6000000,120,1986,8618766,210680
7,14500000,119,1986,52293982,91178
7.7,1100000,107,1986,1529199,54363
7.8,6000000,103,1986,70722101,378489
6.9,9000000,90,1986,18564613,50800
7.6,15000000,96,1986,60629159,197066
6,3000000,86,1986,19472525,50021
5.9,25000000,94,1986,79817937,58359
7.1,14000000,74,1986,38625550,53066
7.8,6400000,107,1986,40084041,74923
7,16000000,116,1986,5900712,144010
7.2,6000000,97,1986,5844868,51189
7.3,25000000,101,1986,14245868,146027
7.1,25000000,94,1986,39032786,84306
7.2,15000000,120,1986,8622412,78855
7.4,24500000,125,1986,17502499,64473
6.4,18500000,91,1986,54999651,60841
8.1,6000000,120,1986,138545632,430535
6.7,9000000,97,1986,40479480,86779
6.6,15000000,98,1986,40697761,65075
8.1,8000000,89,1986,52287414,429999
7.3,25000000,119,1986,109713132,89995
8,3300000,125,1986,6217509,176257
6.5,25000000,104,1986,39246734,81444
6.9,15000000,109,1986,357288178,487407
5.7,14000000,108,1988,239606210,59909
7.2,17000000,113,1987,17185954,93678
6.5,27000000,100,1987,299965036,126734
7,6000000,100,1987,214577242,248979
7.7,35000000,153,1987,22238696,132120
7.7,3600000,84,1987,5924421,178624
6.9,14000000,119,1987,320145693,94469
8.3,30000000,116,1987,46358827,774298
7.3,13000000,121,1987,123922370,150260
6.8,27000000,120,1987,25893810,63916
7.6,15000000,109,1987,120207127,270946
6.7,40000000,130,1987,51220430,103908
7.2,8500000,97,1987,32505409,156997
7.1,15000000,102,1987,80642217,65243
6.6,4500000,96,1987,44793222,88392
5.8,25000000,93,1987,16057580,58081
6.9,22000000,112,1987,26713187,65658
7.6,15000000,93,1987,49530280,153510
7.8,15000000,107,1987,98268458,443864
8,16000000,98,1987,30902869,442925
7.3,6000000,94,1987,29180280,146855
7.6,13000000,102,1987,53425389,274364
6.7,27000000,101,1987,38122105,162228
7.1,22700000,96,1987,38119483,202023
3.7,17000000,90,1987,30281020,51681
6.1,11000000,102,1987,167780960,56772
7.8,25000000,119,1987,76270454,324807
7.3,15000000,126,1987,43848069,162529
6.5,22000000,118,1987,63766510,75595
7.5,15000000,92,1988,74836631,329033
7.3,18000000,104,1988,151927281,234916
7.1,8000000,108,1988,50888729,58007
6.7,9000000,87,1988,44196684,113536
5.9,20000000,104,1988,171504781,90244
7.1,30000000,117,1988,288752301,218904
7.6,14000000,119,1988,34670720,73878
7.2,13000000,116,1988,8038508,52275
8.2,28000000,132,1988,141603197,916991
7.5,7500000,108,1988,62493712,150125
6.9,20000000,120,1988,17637950,56784
6.6,24000000,91,1988,43455230,50332
5.8,5000000,88,1988,17768757,57645
8.5,3700000,89,1988,516962,298568
7.4,12500000,69,1988,84460846,96118
7.5,7000000,164,1988,8865702,61377
7.5,35000000,126,1988,81613606,91983
7.8,15000000,128,1988,34603943,107033
7.6,12000000,85,1988,78756177,179876
5.6,13000000,93,1988,49369899,60452
8.5,5000000,155,1988,13019063,275772
6.6,31000000,74,1988,74151346,51790
8,25000000,133,1988,354825435,536153
5.8,63000000,102,1988,189015611,137872
6.1,29000000,104,1988,34994648,74709
6.9,32000000,101,1988,60329001,109771
7.2,4000000,94,1988,13009198,141374
8.1,3700000,86,1988,30690454,365070
6.1,15000000,107,1988,216614388,133874
7.7,70000000,104,1988,329803958,212308
7.2,35000000,126,1988,57269863,128173
6.8,28000000,113,1988,102953112,61056
6.8,13000000,107,1988,45661556,66233
7.5,70000000,140,1989,90000098,186816
7.1,46630000,126,1988,8083123,55894
7.8,40000000,108,1989,332500002,560429
7.5,35000000,126,1989,411569241,397089
6.9,8500000,90,1989,40508994,139169
6.6,30000000,125,1989,134212055,58337
7.2,14000000,145,1989,161001698,113774
7.8,19000000,104,1989,18254702,60074
8.1,16400000,128,1989,235860116,526679
8,6500000,120,1989,37295445,109638
7.3,7500000,99,1989,145793296,115617
7.5,15000000,107,1989,84431625,125383
6.6,25000000,108,1989,215394738,218187
7.8,18000000,122,1989,26979166,141539
7.2,3000000,103,1988,1163969,112822
8.2,48000000,127,1989,474171806,795511
7.3,28000000,114,1989,227853986,185136
6.6,32000000,133,1989,156167015,109989
7.6,40000000,83,1989,211343479,284763
5.9,7500000,93,1989,296999813,85823
7.5,28000000,97,1989,74534399,206550
7.1,20000000,124,1989,126297830,53613
6.5,11500000,103,1989,57470138,112695
6.7,17000000,114,1989,30050028,82787
6.8,18000000,103,1989,46908987,57149
5.5,27800000,107,1989,52210049,63163
7.3,15000000,117,1989,96759512,61194
6.4,55000000,104,1989,63408614,111336
6.2,13000000,97,1989,71079915,74959
7.1,15000000,100,1989,79258538,104396
6.8,26000000,116,1989,160188546,56286
7.7,16000000,95,1989,93273565,234822
7.2,1200000,100,1989,24742089,58081
6.5,22000000,109,1990,53208180,74516
7.8,31000000,121,1990,52096475,153960
7.4,40000000,118,1990,245077583,470785
5.9,13000000,84,1990,35763605,56361
6.5,11000000,85,1990,8266655,63715
8,22000000,181,1990,424208848,283342
6.4,14000000,96,1990,48878502,68418
6.1,60000000,107,1990,157920733,94363
6.2,47000000,105,1990,162738726,64718
7.1,70000000,124,1990,240031274,375189
7.9,20000000,105,1990,86024005,513482
6.5,26000000,115,1990,61489265,91604
7.1,22000000,127,1990,505703557,230281
7.6,54000000,162,1990,136861392,415942
8.7,25000000,145,1990,47036784,1223772
6.4,50000000,106,1990,41482207,110319
7.7,18000000,103,1990,476684675,616188
7.5,30000000,135,1990,200512643,210216
7.4,25000000,113,1990,26118851,115726
7.7,14000000,115,1990,5080409,139959
7.8,20000000,107,1990,61277597,228292
6.3,35000000,108,1990,57120318,178423
7.1,14000000,119,1990,463406268,345871
5.8,25000000,117,1990,45681173,90873
5.3,42000000,104,1990,119946358,147817
6.8,13500000,93,1990,202084756,102737
7.5,65000000,113,1990,261317921,347042
7.1,11000000,96,1990,16668084,146402
7.2,9500000,125,1990,14563251,98863
6.9,30000000,99,1991,191502426,175874
6.7,40000000,137,1991,152368585,85865
7.6,9000000,116,1991,6153939,127067
8,25000000,84,1991,424967620,472313
6.3,20000000,93,1991,38039850,79872
7.8,6500000,112,1991,57529070,150138
7.3,35000000,128,1991,182291969,210563
6.8,27000000,113,1991,179033791,61619
7.2,38000000,140,1991,34494884,97378
6.5,20000000,105,1991,89325780,82302
7.5,24000000,137,1991,41895491,89400
4.7,11000000,89,1991,34872033,50021
7.7,11000000,130,1991,119418501,80038
6.8,70000000,142,1991,300854823,267937
6.7,26000000,84,1991,181096164,114364
5.7,65000000,100,1991,17218080,59144
8,40000000,189,1991,205405498,166151
7,43000000,105,1991,59509925,109553
7,2500000,104,1991,6401336,60421
6.9,16000000,115,1991,2641357,55328
7.7,3500000,129,1991,2113387,64459
7.3,24000000,122,1991,83531958,196270
6.9,48000000,143,1991,390493908,204262
6.6,35000000,108,1991,46704056,60741
8.6,19000000,118,1991,272742922,1506224
6.3,19000000,99,1991,174999005,63324
7.2,30000000,110,1991,96888996,79636
6,25000000,88,1991,78656813,60025
8.6,102000000,137,1991,520881154,1148380
7.6,16500000,130,1991,45465920,166877
7,39000000,99,1991,63707829,73291
8,28000000,90,1992,504050219,452442
6.4,50000000,114,1992,159814498,313535
7,49000000,127,1992,352927224,213454
7.1,80000000,126,1992,266934688,321223
6.3,25000000,129,1992,411046449,144267
7.5,3000000,104,1992,242623,101769
7.4,40000000,128,1992,215862692,232713
6.7,6000000,99,1992,25795897,98377
6.6,55000000,104,1992,149022650,127957
6.6,60000000,140,1992,137783840,67116
7.7,41000000,138,1992,243240178,280365
7.7,12500000,100,1992,10725228,113270
6.8,28000000,120,1992,358994850,382901
7.3,40000000,128,1992,132440069,118097
6.7,35000000,118,1992,321731527,175699
7.7,33000000,202,1992,48169910,100005
6.5,10000000,104,1992,50752337,70299
7.7,12000000,85,1992,33274049,65196
7.6,11000000,120,1992,64088552,136436
5.9,15000000,84,1992,44065653,50031
6.8,45000000,117,1992,178051587,118305
7.5,8000000,124,1992,21706101,64461
8.3,1200000,99,1992,2913644,1065281
7.2,12000000,123,1992,43440294,64036
8,31000000,156,1992,134095253,319700
6.5,31000000,100,1992,231605150,105868
7.1,23000000,126,1992,105232691,61440
7.3,10000000,134,1992,4184990,102709
7,20000000,94,1992,183097323,166944
6.8,47000000,94,1993,48919043,106793
7.1,32000000,128,1993,36733909,59587
7.4,13000000,81,1992,11505925,191239
7.8,6000000,76,1993,5848204,55204
7.8,22000000,121,1993,17287898,155013
7.9,30000000,144,1993,63848322,228408
5.4,30000000,88,1993,21274717,57049
7,14000000,98,1993,154856263,110981
7.6,6900000,103,1993,8001005,195202
6.7,57000000,115,1993,58055768,188681
6.9,42000000,154,1993,270248367,143996
6,20000000,112,1993,153709806,81328
7.8,44000000,130,1993,368875760,310966
6.2,18000000,97,1993,74189677,54931
6.9,28000000,96,1993,50789441,153494
6.6,25000000,86,1993,133752825,95577
7.2,40000000,128,1993,176997168,111126
8.1,13000000,133,1993,65796862,183546
6,38000000,117,1993,266614059,76245
8.2,63000000,127,1993,1113138548,1041089
6.7,9000000,117,1993,2395231,56797
6.5,85000000,130,1993,137298489,160479
7.5,3500000,97,1993,27912072,63036
7.1,25000000,125,1993,441286195,283743
7.3,11000000,111,1993,22549338,50854
6.2,13000000,84,1993,27979399,50433
7.9,18000000,76,1993,101475133,364964
7.5,30000000,138,1993,135130999,85199
7.7,26000000,125,1993,206678440,253332
7.5,7000000,121,1993,40185556,93357
7.8,15000000,134,1993,23237911,81400
6.7,20000000,104,1993,35739755,133661
4.1,22000000,104,1993,10696210,53005
7.8,7000000,101,1993,34348443,99732
9,22000000,195,1993,322161245,1416181
5.7,38000000,107,1993,57319029,57260
6.8,21000000,105,1993,227927165,186527
4.1,48000000,104,1993,20915465,61782
6.4,30000000,105,1993,53898845,58075
7.8,25000000,130,1993,56505065,160790
7.9,13000000,119,1993,13088850,237840
6.2,40000000,95,1993,48198019,86805
7.7,11000000,118,1993,10032765,249091
6.9,15000000,86,1994,107217396,318316
5.5,50000000,104,1994,119208989,85342
6.9,62000000,141,1994,215887717,105833
7.7,27000,92,1994,3151130,229676
6.7,45000000,119,1994,117615211,72010
7.5,23000000,102,1994,50694671,194723
6.2,55000000,128,1994,214015089,53405
7.3,17000000,107,1994,247290327,403411
5,46000000,91,1994,341631208,84502
8.8,55000000,142,1994,678226465,2194012
7.1,4400000,117,1994,245700832,161708
6.3,45000000,123,1994,112006296,58325
7.3,5000000,99,1994,3049950,66529
7.2,40000000,111,1994,2816518,83816
7.5,60000000,123,1994,223664608,340715
4.7,60000000,109,1994,108431355,71896
7.5,30000000,133,1994,160638883,178032
8.5,45000000,88,1994,968511805,1113318
6.3,23000000,82,1994,67308282,54619
7.3,18000000,115,1994,50083616,62067
6.9,23000000,101,1994,351583407,409086
